idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1.0,0.0,0,0.0,23.26,23.26,2,4,0,4,20
2.0,0.0,0,0.0,8.41,8.41,0,1,0,0,20
3.0,0.0,0,0.0,19.56,19.56,2,2,0,4,20
4.0,0.0,0,0.0,21.17,21.17,2,6,0,1,20
5.0,0.0,0,0.0,11.2,11.2,0,1,0,1,20
6.0,1.0,0,0.0,19.72,19.72,0,5,0,0,20
7.0,2.0,0,0.0,19.7,19.7,0,5,0,1,20
8.0,3.0,0,0.0,21.13,21.13,0,5,0,2,20
9.0,4.0,0,0.0,14.19,14.19,0,4,0,0,20
10.0,5.0,0,0.0,15.4,15.4,0,4,0,1,20
11.0,6.0,0,0.0,15.27,15.27,1,3,0,1,20
12.0,7.0,0,0.0,8.94,8.94,0,3,0,0,20
13.0,8.0,0,0.0,8.88,8.88,0,2,0,0,20
14.0,9.0,0,0.0,16.21,16.21,0,3,0,2,20
15.0,10.0,0,0.0,6.4,6.4,0,2,0,1,20
16.0,11.0,0,0.0,18.88,18.88,0,4,0,2,20
17.0,12.0,0,0.0,9.42,9.42,0,1,0,2,20
18.0,13.0,0,0.0,13.68,13.68,0,2,0,2,20
19.0,14.0,0,0.0,6.01,6.01,0,1,0,3,20
20.0,15.0,0,0.0,18.13,18.13,0,3,0,3,20
21.0,16.0,0,0.0,22.96,22.96,0,4,0,3,20
22.0,17.0,0,0.0,15.5,15.5,0,2,0,3,20
23.0,18.0,0,0.0,17.29,17.29,0,3,0,4,20
24.0,19.0,0,0.0,18.27,18.27,0,6,0,0,20
25.0,20.0,0,0.0,22.69,22.69,0,5,0,3,20
