idx,seq,group,emerg,weight,new_value,relocation,loc_x,loc_y,loc_z,size(ft)
1,1.0,0,0,22.3,22.3,0,6,0,0,20
2,2.0,0,0,23.75,23.75,1,4,0,4,20
3,3.0,0,0,7.39,7.39,0,2,0,0,20
4,4.0,0,0,14.93,14.93,1,3,0,2,20
5,5.0,0,0,18.1,18.1,1,4,0,2,20
6,6.0,0,0,9.08,9.08,0,1,0,0,20
7,7.0,0,0,12.08,12.08,0,4,0,0,20
8,8.0,0,0,13.71,13.71,0,4,0,1,20
9,9.0,0,0,17.29,17.29,0,4,0,3,20
10,10.0,0,0,23.3,23.3,0,6,0,1,20
11,11.0,0,0,14.16,14.16,1,2,0,3,20
12,12.0,0,0,20.53,20.53,1,5,0,2,20
13,13.0,0,0,7.82,7.82,1,1,0,2,20
14,14.0,0,0,5.28,5.28,0,1,0,1,20
15,15.0,0,0,19.08,19.08,1,5,0,1,20
16,16.0,0,0,9.74,9.74,0,3,0,0,20
17,17.0,0,0,15.83,15.83,0,5,0,0,20
18,18.0,0,0,21.44,21.44,1,3,0,4,20
19,19.0,0,0,10.56,10.56,0,3,0,1,20
20,20.0,0,0,13.02,13.02,1,1,0,4,20
21,21.0,0,0,10.13,10.13,0,1,0,3,20
22,22.0,0,0,16.08,16.08,0,2,0,4,20
23,23.0,0,0,6.78,6.78,0,3,0,3,20
24,24.0,0,0,20.52,20.52,0,5,0,3,20
25,25.0,0,0,10.69,10.69,0,5,0,4,20
